ranked.emp_id,ranked.name,ranked.salary,ranked.department,ranked.rank
781,Robert Coleman,149758.5,Finance,1
781,Robert Coleman,149758.5,Finance,1
954,Amy Ortega,149501.9,Finance,3
954,Amy Ortega,149501.9,Finance,3
656,Steven Cole,148918.83,HR,1
656,Steven Cole,148918.83,HR,1
298,Thomas Nguyen,148805.24,HR,3
298,Thomas Nguyen,148805.24,HR,3
665,Frederick Fuller,149392.32,IT,1
665,Frederick Fuller,149392.32,IT,1
819,Laura Hall,148375.38,IT,3
819,Laura Hall,148375.38,IT,3
582,Gabriel Buck,149940.76,Marketing,1
582,Gabriel Buck,149940.76,Marketing,1
588,Laurie Brandt,149456.72,Marketing,3
588,Laurie Brandt,149456.72,Marketing,3
745,Anthony Smith,149633.32,Operations,1
745,Anthony Smith,149633.32,Operations,1
783,Jeffrey Watkins,149395.56,Operations,3
783,Jeffrey Watkins,149395.56,Operations,3
NULL,name,NULL,department,1
NULL,name,NULL,department,1
